,REACTOME_SIGNALING_BY_ERBB4,REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION,PID_HIF1A_PATHWAY,PID_LYMPH_ANGIOGENESIS_PATHWAY,KEGG_PHENYLALANINE_METABOLISM,REACTOME_INHIBITION_OF_INSULIN_SECRETION_BY_ADRENALINE_NORADRENALINE,REACTOME_DEADENYLATION_OF_MRNA,REACTOME_SIGNALING_BY_CONSTITUTIVELY_ACTIVE_EGFR,PID_NFAT_3PATHWAY,PID_NFAT_TFPATHWAY
333,,22796231,,33728349,17458297,35077932,,33940428,,
334,,22791702,,33725633,17443551,35077826,,33935511,,
335,,22763673,,33724292,17425753,35077745,,33933156,,
336,,22745122,,33722087,17376293,35077074,,33932738,,
337,,22737788,,33719831,17319653,35076540,,33928108,,
338,,22672458,,33716048,17298589,35076227,,33910506,,
339,,22647452,,33714952,17267050,35075059,,33909121,,
340,,22631050,,33713680,17253883,35074527,,33908689,,
341,,22521615,,33709000,17224326,35073669,,33906908,,
342,,22517368,,33707159,17132543,35073668,,33906273,,
343,,22504486,,33706582,17111744,35073578,,33902673,,
344,,22391800,,33706169,17095613,35072544,,33896872,,
345,,22361975,,33705802,17087304,35072537,,33896062,,
346,,22342389,,33694304,17082235,35072186,,33890634,,
347,,22320933,,33691182,17074149,35071605,,33889958,,
348,,22311417,,33685571,17050498,35071380,,33888049,,
349,,22249968,,33685347,16990839,35070533,,33887734,,
350,,22228674,,33679398,16985091,35070251,,33883887,,
351,,22215928,,33673027,16953069,35070111,,33881641,,
352,,22203421,,33670730,16930298,35070060,,33878338,,
353,,22150024,,33664862,16899941,35070056,,33861365,,
354,,22143345,,33662598,16886705,35069859,,33859515,,
355,,22131441,,33661709,16844097,35069452,,33854754,,
356,,22101912,,33658601,16842480,35069451,,33852196,,
357,,22075494,,33655322,16796707,35069434,,33851953,,
358,,22069263,,33651121,16785606,35068934,,33847269,,
359,,22067097,,33650820,16759103,35068334,,33837913,,
360,,22004710,,33647254,16751163,35068192,,33834419,,
361,,21979999,,33639232,16731836,35067907,,33833077,,
362,,21961526,,33637772,16718465,35067899,,33832522,,
363,,21945815,,33636209,16684121,35067816,,33831052,,
364,,21919942,,33631120,16683187,35067740,,33830688,,
365,,21902832,,33629304,16644666,35067162,,33829436,,
366,,21896852,,33628832,16639877,35067011,,33827803,,
367,,21843632,,33627712,16620416,35067010,,33827531,,
368,,21839831,,33623636,16620272,35066986,,33824908,,
369,,21816064,,33621940,16618980,35066056,,33814397,,
370,,21806668,,33618724,16614412,35065847,,33812735,,
371,,21804221,,33616665,16595936,35065677,,33796252,,
372,,21794205,,33613446,16510379,35065623,,33792669,,
373,,21767572,,33609510,16506273,35065504,,33790859,,
374,,21752197,,33607073,16443858,35064693,,33786273,,
375,,21747057,,33606153,16418160,35064406,,33781208,,
376,,21697998,,33602182,16396514,35064400,,33780924,,
377,,21655098,,33601096,16363700,35063596,,33780903,,
378,,21654148,,33599552,16336780,35062427,,33778934,,
379,,21644000,,33599110,16298866,35062090,,33778153,,
380,,21636306,,33596257,16221230,35062059,,33775972,,
381,,21585014,,33596041,16214362,35061820,,33775157,,
382,,21538458,,33595499,16214255,35060126,,33772856,,
383,,21535124,,33594895,16201069,35059918,,33769679,,
384,,21497647,,33591858,16178991,35059395,,33767064,,
385,,21493893,,33588607,16176335,35059270,,33766697,,
386,,21455862,,33584541,16164664,35059269,,33764251,,
387,,21411507,,33581844,16129917,35059268,,33763380,,
388,,21302582,,33581374,16123472,35059263,,33760450,,
389,,21282495,,33581257,16023099,35059259,,33756310,,
390,,21207007,,33576890,16002803,35059257,,33752999,,
391,,22550873,,33576819,15986773,35059244,,33752759,,
392,,21147644,,33575886,15981944,35059243,,33752319,,
393,,21144973,,33572905,15933636,35059072,,33751403,,
394,,21063772,,33571295,15902547,35058312,,33746450,,
395,,21062351,,33563874,15871845,35057768,,33745995,,
396,,20959005,,33563731,15855578,35057594,,33744399,,
397,,20957341,,33559843,15855169,35057577,,33743083,,
398,,20923501,,33559819,15807992,35057560,,33741351,,
399,,20922870,,33552282,15807285,35057557,,33740899,,
400,,20846161,,33552063,15779435,35057547,,33736882,,
401,,20728477,,33552057,15779426,35057540,,33735863,,
402,,20676805,,33549594,15779419,35057513,,33726706,,
403,,20654063,,33545851,15758246,35057510,,33725985,,
404,,20608150,,33545836,15724236,35057487,,33722396,,
405,,20560685,,33532586,15696011,35057448,,33720983,,
406,,20522647,,33529593,15685854,35056941,,33716291,,
407,,20477311,,33524559,15660732,35056861,,33715620,,
408,,20461356,,33522573,15660195,35056780,,33715338,,
409,,20425066,,33520826,15569593,35056765,,33713332,,
410,,20380627,,33517291,15563878,35056417,,33711960,,
411,,20370652,,33515594,15551454,35056318,,33707611,,
412,,20308746,,33513084,15533050,35056315,,33706754,,
413,,20308741,,33509565,15505010,35056163,,33705752,,
414,,20213314,,33508920,15479218,35055468,,33694184,,
415,,20211690,,33505469,15389298,35055431,,33688855,,
416,,20188823,,33504680,15375790,35055382,,33685340,,
