,PID_HNF3B_PATHWAY,ST_STAT3_PATHWAY,REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT,REACTOME_AMYLOIDS,REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL,REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE,REACTOME_ION_CHANNEL_TRANSPORT,REACTOME_GPCR_LIGAND_BINDING,REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION,REACTOME_PLATELET_CALCIUM_HOMEOSTASIS
277,,25867197,35101054,32884237,34508793,33866061,33356023,,28332327,34831062
278,,25817898,35100892,32879439,34505919,33854480,33353192,,28332005,34830301
279,,25790769,35100891,32872672,34505615,33850913,33344518,,28293643,34829617
280,,25767272,35100497,32867761,34503684,33849119,33340674,,28280900,34827568
281,,25755735,35100325,32867553,34502562,33846883,33339444,,28260499,34825245
282,,25658748,35100074,32860895,34502235,33844969,33330510,,28252606,34824108
283,,25648832,35099717,32854852,34502172,33842424,33303885,,28205574,34823092
284,,25546438,35099028,32853472,34502023,33838689,33300344,,28202580,34822948
285,,25543293,35098382,32841886,34501433,33837513,33299313,,28186081,34822814
286,,25531016,35098034,32833960,34497847,33835384,33296162,,28155118,34822796
287,,25530164,35097197,32828781,34487112,33834073,33295692,,28142314,34819079
288,,25457211,35097031,32821704,34482574,33832846,33293598,,29979499,34818584
289,,25451613,35096331,32818934,34481869,33831549,33293204,,28117839,34813979
290,,25415616,35096302,32805190,34474107,33830396,33292863,,28086099,34813377
291,,25322830,35095874,32804681,34473420,33823243,33292205,,28070703,34812131
292,,25271382,35095773,32800950,34473336,33815384,33282938,,28041922,34811984
293,,25220705,35094087,32795580,34472215,33815140,33280346,,28036014,34810127
294,,25012131,35093470,32790383,34471049,33813813,33279869,,28030426,34808598
295,,25011972,35093386,32784399,34470562,33812603,33278511,,27984527,34808553
296,,24987707,35093349,32769032,34463268,33810327,33278392,,27979811,34806684
297,,24976178,35093020,32768941,34463264,33809898,33276949,,27916275,34806607
298,,24903577,35092990,32766675,34460928,33808821,33276097,,27916274,34806528
299,,24853762,35092605,32754033,34460218,33807522,33266398,,27886206,34806320
300,,24813250,35092603,32739014,34456865,33806499,33264776,,27816519,34806127
301,,24812426,35092430,32739013,34455039,33805311,33254992,,27808040,34805413
302,,24684823,35092260,32739010,34454054,33802824,33249991,,27592097,34805412
303,,24682898,35092221,32738275,34452184,33799024,33249786,,27331307,34804028
304,,24626642,35091821,32737929,34452145,33798598,33249137,,27780892,34803906
305,,24608443,35090991,32727002,34450194,33790606,33242796,,27776567,34803905
306,,24587334,35090949,32724729,34449321,33788970,33242093,,27487004,34803869
307,,24553436,35090905,32724695,34447351,33781449,33228164,,27448285,34803737
308,,24473436,35090550,32705768,34447287,33780737,33224773,,27764759,34803706
309,,24461318,35090548,32704090,34446275,33777959,33222119,,27717882,34803485
310,,24410777,35089931,32694117,34446271,33776922,33219628,,27749417,34803393
311,,24379355,35089221,32678846,34445584,33775493,33215220,,27734659,34801048
312,,24361011,35088828,32664305,34445384,33773466,33212150,,27731968,34801028
313,,24269735,35088781,32661627,34445047,33773280,33206752,,27612208,34800208
314,,24240391,35088561,32653611,34444784,33772737,33205810,,27612144,34796200
315,,24217922,35087975,32636061,34444750,33771705,33203659,,27603392,34795503
316,,24152426,35087478,32628488,34444735,33771149,33203124,,27589095,34791802
317,,24064760,35087408,32627282,34443347,33770068,33201926,,27553015,34791119
318,,24055008,35086144,32623394,34440853,33766228,33201730,,27543338,34790047
319,,24041262,35086065,32620407,34436472,33764312,33197063,,27531675,34789613
320,,24011072,35086031,32612182,34435562,33761597,33182581,,27501653,34789136
